duplicate_count,size_bytes,sha1,paths,tracked_paths
67,0,da39a3ee5e6b4b0d3255bfef95601890afd80709,02_wardrobe_images/karen/13 Sandale mit Open Toe und Riemchen/13 Sandale mit Open Toe und Riemchen.txt || 02_wardrobe_images/karen/19 Firma Salomon Spezialschuh Querfeldeinläufe/19 Firma Salomon Spezialschuh Querfeldeinläufe.txt || 02_wardrobe_images/karen/27 Stiefelette von Post Excellence/27 Stiefelette von Post Excellence.txt || 02_wardrobe_images/karen/28 Stiefel Beige Knöchelhoch/28 Stiefel Beige Knöchelhoch.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/13 Sandale mit Open Toe und Riemchen/13 Sandale mit Open Toe und Riemchen.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/19 Firma Salomon Spezialschuh Querfeldeinläufe/19 Firma Salomon Spezialschuh Querfeldeinläufe.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/27 Stiefelette von Post Excellence/27 Stiefelette von Post Excellence.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/28 Stiefel Beige Knöchelhoch/28 Stiefel Beige Knöchelhoch.txt || _release_staging/CapsuleWardrobeRAG/src/__init__.py || logs/ngrok.err.log || logs/ngrok.err_20260201-104454.log || logs/ngrok.err_20260201-110547.log || logs/ngrok.err_20260201-112503.log || logs/ngrok.err_20260201-125314.log || logs/ngrok.err_20260201-150023.log || logs/ngrok.err_20260215-110700.log || logs/ngrok.err_20260215-121437.log || logs/ngrok.err_20260215-122402.log || logs/ngrok.err_20260215-202301.log || logs/ngrok.err_20260215-223016.log || logs/ngrok.err_20260221-185711.log || logs/ngrok.err_20260301-161252.log || logs/ngrok.err_20260301-181619.log || logs/ngrok.err_20260301-194224.log || logs/ngrok.out.log || logs/ngrok.out_20260201-104454.log || logs/ngrok.out_20260201-110547.log || logs/ngrok.out_20260201-112503.log || logs/ngrok.out_20260201-125314.log || logs/ngrok.out_20260201-150023.log || logs/ngrok.out_20260215-110700.log || logs/ngrok.out_20260215-121437.log || logs/ngrok.out_20260215-122402.log || logs/ngrok.out_20260215-202301.log || logs/ngrok.out_20260215-223016.log || logs/ngrok.out_20260221-185711.log || logs/ngrok.out_20260301-161252.log || logs/ngrok.out_20260301-173802.log || logs/ngrok.out_20260301-181619.log || logs/ngrok.out_20260301-194224.log || logs/server.out.log || logs/server.out_20260201-104454.log || logs/server.out_20260201-110547.log || logs/server.out_20260201-112503.log || logs/server.out_20260201-125314.log || logs/server.out_20260201-150023.log || logs/server.out_20260215-110700.log || logs/server.out_20260215-113152.log || logs/server.out_20260215-120835.log || logs/server.out_20260215-121437.log || logs/server.out_20260215-121915.log || logs/server.out_20260215-122402.log || logs/server.out_20260215-202301.log || logs/server.out_20260215-223016.log || logs/server.out_20260221-185711.log || logs/server.out_20260222-124115.log || logs/server.out_20260222-192059.log || logs/server.out_20260222-195527.log || logs/server.out_20260222-204434.log || logs/server.out_20260222-205115.log || logs/server.out_20260301-113913.log || logs/server.out_20260301-161252.log || logs/server.out_20260301-164448.log || logs/server.out_20260301-173802.log || logs/server.out_20260301-181619.log || logs/server.out_20260301-194224.log || src/__init__.py,src/__init__.py
7,1617,c9bb6d328b9a4a7c74a70ad8220ed65c60587a74,_release_staging/CapsuleWardrobeRAG/docs/HANDOFF_MANIFEST.md || docs/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260222-204547/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260222-204618/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260301-161040/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260301-161316/HANDOFF_MANIFEST.md || docs/_snapshot/latest/HANDOFF_MANIFEST.md,docs/HANDOFF_MANIFEST.md
7,673,ef93967190c613979b79541e4074334e10a7914b,_release_staging/CapsuleWardrobeRAG/docs/HANDOFF_RUNTIME_STATE.md || docs/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260222-204547/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260222-204618/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260301-161040/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260301-161316/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/latest/HANDOFF_RUNTIME_STATE.md,docs/HANDOFF_RUNTIME_STATE.md
4,576,839c065cdd6048c9e0c686f9430adb6e62bef105,docs/_snapshot/handoff_20260222-204547/sanity_check.txt || docs/_snapshot/handoff_20260222-204618/sanity_check.txt || docs/_snapshot/handoff_20260301-161316/sanity_check.txt || docs/_snapshot/latest/sanity_check.txt,
2,684761,7f86840a8f915e46fcbd9ba28c674b2d220ac745,docs/_snapshot/handoff_20260301-161316/project_audit_dump.md || docs/_snapshot/latest/project_audit_dump.md,
2,45231,d66a90081a8d1b2f3926afc71851d12ec9463708,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_03_item_types.md || ontology/ontology_part_03_item_types.md,ontology/ontology_part_03_item_types.md
2,38176,254c2ae3d18ca6e8a23cbdeea0f0a1205507de91,_release_staging/CapsuleWardrobeRAG/src/api_v2.py || src/api_v2.py,src/api_v2.py
2,34992,21a86a729a289031956ad70ee8a1f662ca0e1692,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_04_attributes_value_sets_core.md || ontology/ontology_part_04_attributes_value_sets_core.md,ontology/ontology_part_04_attributes_value_sets_core.md
2,34571,43319ceaff8113e3e15d1ae45719babab850f8f1,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_07_brands_shops.md || ontology/ontology_part_07_brands_shops.md,ontology/ontology_part_07_brands_shops.md
2,29768,044cf249eb5520ebe35aa0b1c2f1971491578251,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_06_fits_cuts_collars_sizes.md || ontology/ontology_part_06_fits_cuts_collars_sizes.md,ontology/ontology_part_06_fits_cuts_collars_sizes.md
2,27039,d75210b5f978a52d1c2e6771fff461282751e931,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_08_rules_disambiguation.md || ontology/ontology_part_08_rules_disambiguation.md,ontology/ontology_part_08_rules_disambiguation.md
2,26571,490215443f3ec74482e9bb1a86ed58d0ca8f0b7e,_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py || src/ingest_wardrobe.py,src/ingest_wardrobe.py
2,22814,7010b7e5b311e358f7a83705c03283fb71fa606e,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_02_taxonomy.md || ontology/ontology_part_02_taxonomy.md,ontology/ontology_part_02_taxonomy.md
2,19295,27b03fba7b748c064e55184d51c149aa2db58bed,_release_staging/CapsuleWardrobeRAG/src/web_dashboard.py || src/web_dashboard.py,src/web_dashboard.py
2,17673,910fa8bc427109388b1567f389d6cb948a1e924c,_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py || src/ontology_runtime.py,src/ontology_runtime.py
2,16799,fc151a13ad34bd8720e78fdb3725edb67e82cced,_release_staging/CapsuleWardrobeRAG/templates/index.html || templates/index.html,templates/index.html
2,15290,ca142af51a1da26fe93c0f6d14833412dac14f37,_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py || tools/project_audit_dump.py,tools/project_audit_dump.py
2,12830,27aac166e130a337afa9db3b3e0dafe3f77129e5,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_05_materials_sustainability_certifications.md || ontology/ontology_part_05_materials_sustainability_certifications.md,ontology/ontology_part_05_materials_sustainability_certifications.md
2,11211,2f1f0123b004c4b0e15060da2a78a75fba1207bf,_release_staging/CapsuleWardrobeRAG/src/run_registry.py || src/run_registry.py,src/run_registry.py
2,11037,da2dca7691d3b8e19b50f7bfaea2a64b07ecce2f,docs/_snapshot/handoff_20260301-161316/ontology_runtime_dump.json || docs/_snapshot/latest/ontology_runtime_dump.json,
2,10940,d0bdf355947779a1310ea1e47ce9aef47957a8ec,_release_staging/CapsuleWardrobeRAG/src/category_map.py || src/category_map.py,src/category_map.py
2,10186,ddcde27590a3bafa56f372e184e8822865515152,_release_staging/CapsuleWardrobeRAG/docs/ENGINEERING_MANIFEST_v2.0.md || docs/ENGINEERING_MANIFEST_v2.0.md,docs/ENGINEERING_MANIFEST_v2.0.md
2,9604,0e9bc0a5174f75f8f629ec3ad18e3c6a6919f20d,_release_staging/CapsuleWardrobeRAG/tools/ontology_runtime_dump.py || tools/ontology_runtime_dump.py,tools/ontology_runtime_dump.py
2,9468,8373eb6ace66d78ec95fc0e3440238bc6a051379,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_09_qa_glossary_ambiguities.md || ontology/ontology_part_09_qa_glossary_ambiguities.md,ontology/ontology_part_09_qa_glossary_ambiguities.md
2,8591,3d45a2d8567a74e890980f7176d8ab1e8f045b9f,_release_staging/CapsuleWardrobeRAG/src/web_dashboard.py.bak || src/web_dashboard.py.bak,src/web_dashboard.py.bak
2,8033,a37c1c01753bf23e1e849c2b71b49d345de9ae65,_release_staging/CapsuleWardrobeRAG/tools/project_data_snapshot.py || tools/project_data_snapshot.py,tools/project_data_snapshot.py
2,7909,8188d3d9e748f386ba497f00eff3330758714079,_release_staging/CapsuleWardrobeRAG/tools/secret_scan.py || tools/secret_scan.py,tools/secret_scan.py
2,7615,9f42a27072c0ff3c2445660c828c406fa06132aa,_release_staging/CapsuleWardrobeRAG/tools/ingest_recover.py || tools/ingest_recover.py,tools/ingest_recover.py
2,7583,8025b7b1ad5d8388fefe80a8ca78af3fcf06c136,_release_staging/CapsuleWardrobeRAG/templates/admin_item_edit.html || templates/admin_item_edit.html,templates/admin_item_edit.html
2,7431,c93c08b1e08e38771f704404d40ac939f74ed6d8,_release_staging/CapsuleWardrobeRAG/tools/handoff_make.py || tools/handoff_make.py,tools/handoff_make.py
2,7124,161b747db41a5560733b3488ae85ed6ce1e3e373,_release_staging/CapsuleWardrobeRAG/src/api_main.py || src/api_main.py,src/api_main.py
2,6725,14ab75b419d7caf5dae8144f01d4b80e2c87eee0,_release_staging/CapsuleWardrobeRAG/tests/test_api_v2_crud.py || tests/test_api_v2_crud.py,tests/test_api_v2_crud.py
2,6623,15450db09f05d7a636a4a3d720a44fb025a82359,_release_staging/CapsuleWardrobeRAG/src/db_schema.py || src/db_schema.py,src/db_schema.py
2,6300,eea80c3f069cf79844dd9cfe4260ca0efba79cf5,Wardrobe_Studio_Starten.bat || _release_staging/CapsuleWardrobeRAG/Wardrobe_Studio_Starten.bat,Wardrobe_Studio_Starten.bat
2,5370,fdd2524444ccfaac2d3f2a93355b240a14935d34,_release_staging/CapsuleWardrobeRAG/src/settings.py || src/settings.py,src/settings.py
2,5227,e5008af157a5bf12c8f1f1fb797ed04b1fb351d2,docs/_snapshot/handoff_20260301-161316/data_snapshot.md || docs/_snapshot/latest/data_snapshot.md,
2,4979,dddfaf0cbcf628d30b3031bd91f6baaaf5999414,_release_staging/CapsuleWardrobeRAG/templates/item_detail.html || templates/item_detail.html,templates/item_detail.html
2,4901,47a44ab6eef84c3b3e0ce4c1cc05facd0a55eb32,_release_staging/CapsuleWardrobeRAG/docs/ENGINEERING_GUIDELINES.md || docs/ENGINEERING_GUIDELINES.md,docs/ENGINEERING_GUIDELINES.md
2,4488,fdee3c82a22b61c6c7b57536f019fb055ebd6830,_release_staging/CapsuleWardrobeRAG/tools/handoff_snapshot.ps1 || tools/handoff_snapshot.ps1,tools/handoff_snapshot.ps1
2,4397,06aa4e48a02c89b25b9bcd92816a9b16baa13bc1,_release_staging/CapsuleWardrobeRAG/tools/handoff_make_run.py || tools/handoff_make_run.py,tools/handoff_make_run.py
2,3927,0d6c52b4ea0a97353a6aa76ad307401d0487f0e0,_release_staging/CapsuleWardrobeRAG/tools/handoff_make.ps1 || tools/handoff_make.ps1,tools/handoff_make.ps1
2,3638,8f77a3f5d60c598b6475816b8392f9b7646f6a43,_release_staging/CapsuleWardrobeRAG/tests/test_ingest_wardrobe_idempotence.py || tests/test_ingest_wardrobe_idempotence.py,tests/test_ingest_wardrobe_idempotence.py
2,3638,f603ff10c194a0189ccc8c6cab44ec7948dbeff2,02_wardrobe_images/karen/25 Tamaris Winterstiefel/25 Tamaris Winterstiefel.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/25 Tamaris Winterstiefel/25 Tamaris Winterstiefel.txt,
2,3522,938bc875aedde84ab904fcd009caf971c45a1566,02_wardrobe_images/karen/dunkelblaues-jeanskleid-in-a-linie-mit-langem-frontreissverschluss-und-bindeguertel_186/dunkelblaues Jeanskleid in A-Form von der Firma Shigo aus der Kollektion von Miyabi Kawai fü.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/dunkelblaues-jeanskleid-in-a-linie-mit-langem-frontreissverschluss-und-bindeguertel_186/dunkelblaues Jeanskleid in A-Form von der Firma Shigo aus der Kollektion von Miyabi Kawai fü.txt,
2,3373,5d1197be124f9403fe31fd8b39f3c32feebbbe82,_release_staging/CapsuleWardrobeRAG/tests/test_error_contract.py || tests/test_error_contract.py,tests/test_error_contract.py
2,3185,dc4e38ace2fde927bef8eed292af4472f5a12ea9,02_wardrobe_images/karen/jackett-wickelkleid-mit-blazerkragen-und-bindeguertel_191/Jackett-Kleid von der Firma Chico aus der Kollektion von Miyabi Kawaii.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/jackett-wickelkleid-mit-blazerkragen-und-bindeguertel_191/Jackett-Kleid von der Firma Chico aus der Kollektion von Miyabi Kawaii.txt,
2,3129,131ab2c059ccf452a93d981075229bcf40be2cb9,_release_staging/CapsuleWardrobeRAG/tools/runs_report.py || tools/runs_report.py,tools/runs_report.py
2,3032,1349e359bce6a5a480b6c6116c6c7aaae50e1c4f,_release_staging/CapsuleWardrobeRAG/tools/project_sanity_check.py || tools/project_sanity_check.py,tools/project_sanity_check.py
2,3005,ff5ad9022aee5ba0a7279389608a59c4c78529a9,02_wardrobe_images/karen/sehr-helle-jeansjacke_210/sehr helle Jeansjacke von der Firma Mango.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/sehr-helle-jeansjacke_210/sehr helle Jeansjacke von der Firma Mango.txt,
2,2966,f7fc157027e53eba0fb84612661e3fc8b2da7a45,02_wardrobe_images/karen/schmuck58/schmuck58.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schmuck58/schmuck58.txt,
2,2939,3bcd3a393016105d3008d5932c15e42a6ac7e51b,_release_staging/CapsuleWardrobeRAG/docs/PROJECT_STATE.md || docs/PROJECT_STATE.md,docs/PROJECT_STATE.md
2,2927,b7c73b77c936906bce72146ad626295ff79208f7,_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_legacy_api_auth.py || tests/test_web_dashboard_legacy_api_auth.py,tests/test_web_dashboard_legacy_api_auth.py
2,2854,dc62866c4590833f5d1756777c41176b1491cdcc,_release_staging/CapsuleWardrobeRAG/ontology/color_lexicon.yaml || ontology/color_lexicon.yaml,ontology/color_lexicon.yaml
2,2752,0b5040e6509464aeebb4c675267fd6cb42f3114f,02_wardrobe_images/karen/Kurzmantel von der Firma Hessnatur/Kurzmantel von der Firma Hessnatur.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/Kurzmantel von der Firma Hessnatur/Kurzmantel von der Firma Hessnatur.txt,
2,2669,f80e0475a6f2d47a0ce6edd24ee524b37a879f32,02_wardrobe_images/karen/Schwarzes Shirt-Blusenkleid Hemd-Shirtkleid/Schwarzes Shirt-Blusenkleid Hemd-Shirtkleid.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/Schwarzes Shirt-Blusenkleid Hemd-Shirtkleid/Schwarzes Shirt-Blusenkleid Hemd-Shirtkleid.txt,
2,2666,ced2f5b37ea93f2815ef690a6e285930db2c4e0c,02_wardrobe_images/karen/tasche07/tasche07.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/tasche07/tasche07.txt,
2,2643,61a4bc31a74712eca9737c4452f0a44460ce4c32,02_wardrobe_images/karen/Trenchcoat mit Kapuze in der Farbe Olivgrün/Trenchcoat mit Kapuze in der Farbe Olivgrün.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/Trenchcoat mit Kapuze in der Farbe Olivgrün/Trenchcoat mit Kapuze in der Farbe Olivgrün.txt,
2,2614,ba9f1b08574e5da4eb5d079d5e9d465fec0824df,_release_staging/CapsuleWardrobeRAG/src/logging_config.py || src/logging_config.py,src/logging_config.py
2,2606,9add15191df9f9f9ea191c3715b729ea3c6b5361,02_wardrobe_images/karen/schwarze Winterjacke von der Firma Polarino/schwarze Winterjacke von der Firma Polarino.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schwarze Winterjacke von der Firma Polarino/schwarze Winterjacke von der Firma Polarino.txt,
2,2523,ea829dc47e5be8a98e7d9b25cdda90610a82b197,_release_staging/CapsuleWardrobeRAG/docs/ARCHITECTURE.md || docs/ARCHITECTURE.md,docs/ARCHITECTURE.md
2,2519,d13a6c91aaebabfeda26c6fd3697b61d016ddf97,02_wardrobe_images/karen/knielanges Kleid in den Grundfarben schwarz und gelb bedruckt mit Blüten/knielanges Kleid in den Grundfarben schwarz und gelb bedruckt mit Blüten.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/knielanges Kleid in den Grundfarben schwarz und gelb bedruckt mit Blüten/knielanges Kleid in den Grundfarben schwarz und gelb bedruckt mit Blüten.txt,
2,2473,cbb7276d188e77c919e320b2187174f8becb78aa,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_01_overview.md || ontology/ontology_part_01_overview.md,ontology/ontology_part_01_overview.md
2,2461,a76138f2ad78d89fe5a88aeff214d0f91612de6c,02_wardrobe_images/karen/schmuck39/schmuck39.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schmuck39/schmuck39.txt,
2,2435,2fc9e8d1cf31cd5d7f05af474d2ac3cd91a12bfb,02_wardrobe_images/karen/Oversized Hemdkleid von der Firma Hess Natur aus der Kollektion Wunderkind/Oversized Hemdkleid von der Firma Hess Natur aus der Kollektion Wunderkind.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/Oversized Hemdkleid von der Firma Hess Natur aus der Kollektion Wunderkind/Oversized Hemdkleid von der Firma Hess Natur aus der Kollektion Wunderkind.txt,
2,2391,bff6447c56423b1c98261125db43a7cc1dd44643,_release_staging/CapsuleWardrobeRAG/docs/WORKING_AGREEMENT.md || docs/WORKING_AGREEMENT.md,docs/WORKING_AGREEMENT.md
2,2360,30fc18a7412144f04890013b9e9f37145c1b9495,02_wardrobe_images/karen/22 Sneaker Michael Kors Gold/22 Sneaker Michael Kors Gold.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/22 Sneaker Michael Kors Gold/22 Sneaker Michael Kors Gold.txt,
2,2305,c766824735bacecede89ebb6f7aa0acf05a173bb,_release_staging/CapsuleWardrobeRAG/src/error_contract.py || src/error_contract.py,src/error_contract.py
2,2299,2e3b0810852d15511b1c6f89617cf9f62d6ef72a,02_wardrobe_images/andreas/Pailletten Jacket/Pailletten Jacket.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/andreas/Pailletten Jacket/Pailletten Jacket.txt,
2,2260,07d6a3d8df1e16cf0b3295c3741a7d8adb52ae07,02_wardrobe_images/karen/schmuck47/schmuck47.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schmuck47/schmuck47.txt,
2,2239,a54d220bbc494541ca1e7d5d85fa66481285dac5,02_wardrobe_images/karen/schmuck33/schmuck33.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schmuck33/schmuck33.txt,
2,2214,5df77c3fa0e28f9b98fc26eafe4c1bd7d5c6caf4,_release_staging/CapsuleWardrobeRAG/docs/RUNBOOK.md || docs/RUNBOOK.md,docs/RUNBOOK.md
2,2202,1488c3e0b1f8f552e78da39dfcbfe6d112b918dc,02_wardrobe_images/karen/tasche12/tasche12.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/tasche12/tasche12.txt,
2,2201,329fc87f966381750a4575144afbeb4f1881c1b3,02_wardrobe_images/karen/schwarze Kunstlederjacke in Biker-Optik/schwarze Kunstlederjacke in Biker-Optik.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schwarze Kunstlederjacke in Biker-Optik/schwarze Kunstlederjacke in Biker-Optik.txt,
2,2174,e98ae02e74ac71b5e807fd351546667c28b7d9dd,02_wardrobe_images/karen/tasche06/tasche06.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/tasche06/tasche06.txt,
2,2170,2d6dcd507fe6190d56c7c7ff6ffabcd536059b29,_release_staging/CapsuleWardrobeRAG/tests/test_run_registry.py || tests/test_run_registry.py,tests/test_run_registry.py
2,2166,6f12e7494885afd0957a6a3a69ecf1073fc4bd14,_release_staging/CapsuleWardrobeRAG/tests/test_dashboard_index_filters.py || tests/test_dashboard_index_filters.py,tests/test_dashboard_index_filters.py
2,2119,074b79add9dda643df14e97e9f20b16ca934573d,02_wardrobe_images/karen/schmuck30/schmuck30.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schmuck30/schmuck30.txt,
2,2119,a000feca20ba1f798c12bb73fbd67c147f14ea84,_release_staging/CapsuleWardrobeRAG/tests/test_run_registry_redaction.py || tests/test_run_registry_redaction.py,tests/test_run_registry_redaction.py
2,2096,a1866c675039977975f09ef9555c348246d02862,_release_staging/CapsuleWardrobeRAG/tests/test_web_dashboard_v1_inventory_fields.py || tests/test_web_dashboard_v1_inventory_fields.py,tests/test_web_dashboard_v1_inventory_fields.py
2,2095,d559e69873a1bb68dd89cd51e18e7b766d507690,02_wardrobe_images/karen/Bodycon Dress aus der Marks Spencer Collection in der UK-Größe 18/Bodycon Dress aus der Marks Spencer Collection in der UK-Größe 18.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/Bodycon Dress aus der Marks Spencer Collection in der UK-Größe 18/Bodycon Dress aus der Marks Spencer Collection in der UK-Größe 18.txt,
2,2053,6f894ea3a99407079729621aa25d178fc36047c1,02_wardrobe_images/karen/21 Sneaker Michael Kors Dunkelbraun/21 Sneaker Michael Kors Dunkelbraun.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/21 Sneaker Michael Kors Dunkelbraun/21 Sneaker Michael Kors Dunkelbraun.txt,
2,2052,f2d4560b94d96ffd0483e06c7013dd2235b0ff89,02_wardrobe_images/karen/Tasche03/Tasche03.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/Tasche03/Tasche03.txt,
2,2047,80adc030a1b745b422212dff05ee3cbf8ffb2540,_release_staging/CapsuleWardrobeRAG/src/reset_folders.py || src/reset_folders.py,src/reset_folders.py
2,2031,89f72dce6f6dfabb39adf68f03e65d5001e38d63,02_wardrobe_images/karen/schmuck38/schmuck38.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schmuck38/schmuck38.txt,
2,1996,76c5ce6777d691a621746154f7b0a3a60dfe8dd6,02_wardrobe_images/karen/schmuck41/schmuck41.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schmuck41/schmuck41.txt,
2,1994,792875299131da37107c4ffa4950833373635924,02_wardrobe_images/karen/31 Timberland Winterstiefel/31 Timberland Winterstiefel.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/31 Timberland Winterstiefel/31 Timberland Winterstiefel.txt,
2,1975,73d1cd9b8a4d28e55f3317f9ded0e9b35ddf41aa,02_wardrobe_images/karen/knielanges Bodycon-Dress von der Firma Marks Spencer aus der Collection/knielanges Bodycon-Dress von der Firma Marks Spencer aus der Collection.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/knielanges Bodycon-Dress von der Firma Marks Spencer aus der Collection/knielanges Bodycon-Dress von der Firma Marks Spencer aus der Collection.txt,
2,1972,cfc762ef1ffef81f4783b671de193377297d7283,docs/_snapshot/handoff_20260301-161316/ontology_runtime_summary.md || docs/_snapshot/latest/ontology_runtime_summary.md,
2,1970,85220f82656c928826627c2d4afbbd84d37a4a75,02_wardrobe_images/karen/schwarzes Kunstlederkleid von der Firma Curvy Me/schwarzes Kunstlederkleid von der Firma Curvy Me.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/schwarzes Kunstlederkleid von der Firma Curvy Me/schwarzes Kunstlederkleid von der Firma Curvy Me.txt,
2,1960,e8562d8eae97f04cb16614a810975a13cb86e2a9,02_wardrobe_images/karen/tasche14/tasche14.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/tasche14/tasche14.txt,
